Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
22345;0.1200;0.0067;1.1805;-0.0187;12.2461;2.1880;359.7851;True;True;0.1536;0.8498;0.0694;15.3991;42.2815;283.7750;0.0070;0.0188;-0.0330;0.0000;True;True;-0.0618;0.9219;0.1709;8.5001;112.3773;138.0369;-0.0853;0.0504;-0.3602;0.0000;-0.0205;0.9559;0.2657;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22355;0.2600;0.0060;1.1812;-0.0189;11.7048;1.4768;359.5749;True;True;0.1542;0.8495;0.0691;16.1847;39.8002;283.4375;-0.0082;-0.0032;0.0119;0.0000;True;True;-0.0920;0.8840;0.1431;12.4942;124.8686;106.0829;-0.2152;-0.0502;-0.1853;0.0000;-0.0399;0.9644;0.1902;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22365;0.4000;0.0067;1.1859;-0.0197;8.9997;1.9920;359.1671;True;True;0.1483;0.8499;0.0689;15.6354;40.3100;283.4316;-0.0092;0.0063;-0.0225;0.0000;True;True;-0.1232;0.8598;0.1078;17.7730;133.8495;105.3784;-0.0828;-0.1440;-0.1829;0.0000;-0.0633;0.9436;0.1344;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22375;0.5400;0.0192;1.1836;-0.0226;10.1344;11.0956;359.5394;True;True;0.1474;0.8485;0.0666;14.1906;44.2931;285.2223;-0.0048;0.0023;0.0072;0.0000;True;True;-0.1495;0.8376;0.0879;5.8780;142.3956;115.3023;-0.0786;-0.0788;-0.1532;0.0000;-0.0860;0.9119;0.1278;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22385;0.6800;0.0352;1.1782;-0.0287;12.6560;22.5291;1.3079;True;True;0.1406;0.8489;0.0660;9.5994;42.5744;288.1051;-0.0125;0.0222;-0.0173;0.0000;True;True;-0.1749;0.8102;0.0636;352.9482;135.8222;111.9330;-0.1233;-0.2559;-0.0761;0.0000;-0.1280;0.8909;0.1178;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22390;0.7400;0.0418;1.1760;-0.0319;13.4968;26.9985;2.3243;True;True;0.1377;0.8470;0.0661;6.7508;42.0926;287.5824;-0.0668;-0.0714;0.0081;0.0000;True;True;-0.1679;0.8010;0.0645;347.3446;137.8022;100.9513;0.0789;0.0878;-0.0301;0.0000;-0.1411;0.8857;0.1147;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22395;0.8200;0.0466;1.1744;-0.0347;14.0910;30.3077;3.3235;True;True;0.1362;0.8413;0.0655;7.4482;38.4434;290.4855;-0.0035;-0.0698;-0.0155;0.0000;True;True;-0.1761;0.8125;0.0525;345.5242;138.6912;98.1505;-0.0255;0.0997;-0.1145;0.0000;-0.1542;0.8982;0.1033;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22400;0.8800;0.0499;1.1731;-0.0366;14.5144;32.1841;4.0247;True;True;0.1391;0.8370;0.0638;7.3926;38.5107;293.1392;0.0051;-0.0549;-0.0400;0.0000;True;True;-0.1673;0.8194;0.0413;343.9597;132.8806;98.3287;0.1478;0.1625;-0.2089;0.0000;-0.1541;0.9056;0.0934;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22405;0.9600;0.0519;1.1721;-0.0369;14.8797;32.9838;4.2941;True;True;0.1428;0.8328;0.0640;7.6885;41.0524;295.3846;0.0609;-0.0675;0.0182;0.0000;True;True;-0.1651;0.8236;0.0465;338.6390;131.6222;99.1380;0.0453;0.0155;0.0686;0.0000;-0.1567;0.9075;0.1026;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22410;1.0200;0.0530;1.1710;-0.0364;15.4110;33.1423;4.3219;True;True;0.1502;0.8236;0.0649;4.7903;44.9176;294.4132;0.1270;-0.1778;-0.0012;0.0000;True;True;-0.1667;0.8229;0.0483;336.7249;128.6632;99.0231;-0.0379;-0.0384;0.0341;0.0000;-0.1637;0.9061;0.1079;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22420;1.1600;0.0535;1.1694;-0.0332;16.1677;32.5623;4.5547;True;True;0.1629;0.8293;0.0582;10.0371;53.2239;297.8088;0.2258;0.0968;-0.0760;0.0000;True;True;-0.1691;0.8185;0.0547;339.5155;128.0015;99.1990;0.0452;-0.0027;0.0960;0.0000;-0.1641;0.9020;0.1122;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22430;1.3000;0.0529;1.1681;-0.0288;16.7950;31.1866;4.3266;True;True;0.2055;0.8331;0.0841;13.3957;75.1184;302.6204;0.2837;-0.0870;0.2789;0.0000;True;True;-0.1687;0.8202;0.0556;339.2314;127.7936;97.5606;-0.0286;0.0371;0.0016;0.0000;-0.1659;0.9044;0.1127;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
22440;1.4400;0.0527;1.1668;-0.0268;17.2769;30.8071;4.3302;True;True;0.2696;0.8071;0.1621;15.4678;93.3999;314.4641;0.2006;-0.1148;0.2408;0.0000;True;True;-0.1849;0.8211;0.0552;343.7065;121.6676;99.6111;-0.0772;-0.0421;-0.0142;0.0000;-0.1815;0.9076;0.1115;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
