Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
8385;0.0400;0.0039;1.1755;-0.0164;10.3508;359.8470;356.9961;True;True;0.0031;0.9128;0.3720;354.5559;72.7342;335.1066;0.1787;-0.1549;-0.4055;0.0000;True;True;-0.1018;0.6307;0.1424;347.8576;117.5772;187.7534;0.0050;0.0000;0.0005;0.0000;-0.0497;0.5843;0.2206;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8390;0.1400;0.0030;1.1761;-0.0183;9.7973;0.3525;357.0260;True;True;0.0274;0.8553;0.2866;358.8768;64.7637;323.4856;0.0554;-0.5305;-0.5596;0.0000;True;True;-0.1024;0.6303;0.1430;348.4665;118.1016;187.6531;0.0017;-0.0004;0.0039;0.0000;-0.0502;0.5836;0.2209;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8395;0.2400;0.0022;1.1761;-0.0205;9.4168;0.4356;357.3604;True;True;0.0459;0.7711;0.2472;3.1693;55.5028;312.1794;0.1303;-0.5885;-0.2030;0.0000;True;True;-0.1032;0.6287;0.1433;348.2017;118.3852;186.7959;-0.0070;-0.0098;0.0036;0.0000;-0.0501;0.5834;0.2214;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8400;0.3400;0.0028;1.1748;-0.0225;9.7159;0.3118;357.8492;True;True;0.0714;0.7104;0.1770;9.6084;54.6133;322.2570;0.3176;-0.5276;-0.2560;0.0000;True;True;-0.1028;0.6292;0.1436;348.1868;118.3587;187.0872;0.0053;0.0005;0.0040;0.0000;-0.0499;0.5837;0.2216;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8405;0.4200;0.0052;1.1728;-0.0249;10.7619;0.3162;357.6763;True;True;0.0983;0.6528;0.1464;17.1516;57.5230;336.8218;0.1418;-0.3091;-0.5899;0.0000;True;True;-0.1027;0.6291;0.1433;349.8451;118.2882;186.6765;-0.0009;0.0002;-0.0040;0.0000;-0.0507;0.5835;0.2222;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8410;0.5200;0.0095;1.1732;-0.0273;10.5047;0.9333;356.9991;True;True;0.1125;0.6146;0.1353;18.3630;64.5096;344.8903;-0.0333;-0.0267;-0.0146;0.0000;True;True;-0.1017;0.6289;0.1428;348.5197;117.5399;185.9423;0.0118;0.0068;-0.0019;0.0000;-0.0501;0.5850;0.2227;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8415;0.6000;0.0130;1.1754;-0.0299;9.0805;1.4364;356.9622;True;True;0.1163;0.6214;0.1305;20.1159;72.7174;356.9050;0.0341;0.0183;-0.0328;0.0000;True;True;-0.0995;0.6325;0.1421;348.3323;117.3350;186.7669;0.0127;0.0174;-0.0040;0.0000;-0.0482;0.5874;0.2217;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8425;0.7800;0.0176;1.1710;-0.0372;11.4752;0.7808;356.7121;True;True;0.1135;0.6383;0.1368;15.2553;72.1712;1.5485;-0.0121;0.0026;0.0087;0.0000;True;True;-0.0987;0.6332;0.1413;349.1637;117.1946;187.4862;-0.0026;0.0026;0.0002;0.0000;-0.0479;0.5867;0.2204;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8435;0.9600;0.0199;1.1668;-0.0406;13.9014;0.2876;356.8375;True;True;0.1126;0.6377;0.1374;15.0214;71.4724;0.2327;0.0018;0.0074;0.0016;0.0000;True;True;-0.0986;0.6333;0.1400;349.2947;117.0915;187.2971;-0.0012;0.0011;-0.0073;0.0000;-0.0480;0.5871;0.2195;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
8440;1.0600;0.0203;1.1651;-0.0403;14.8245;359.9821;356.7581;True;True;0.1131;0.6383;0.1376;16.3813;71.4752;0.6722;0.0067;0.0036;0.0008;0.0000;True;True;-0.0981;0.6343;0.1396;349.5309;116.7344;187.4802;0.0011;0.0050;-0.0040;0.0000;-0.0483;0.5879;0.2195;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
