Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly
3455;0.9200;-0.0377;12.251;-0.0225;95.780;3.315.119;20.907;True;True;0.1095;0.6792;0.0738;496.466;761.330;165.290;0.0059;-0.0876;-0.0652;0.0000;True;True;-0.0788;0.6698;0.0978;3.158.012;832.056;2.202.100;-0.1005;0.0360;-0.0511;0.0000;-0.0208;0.6013;0.1592;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3465;10.600;-0.0347;12.287;-0.0217;73.796;3.299.630;20.972;True;True;0.1165;0.6782;0.0755;483.884;741.793;151.534;0.0803;0.0278;0.0070;0.0000;True;True;-0.1374;0.7627;0.0732;3.170.740;1.053.543;1.747.788;-0.6815;13.453;-0.2123;0.0000;-0.0819;0.7233;0.1671;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3475;12.000;-0.0298;12.301;-0.0178;66.585;3.303.975;10.099;True;True;0.1138;0.6803;0.0707;478.508;737.816;133.447;-0.0277;-0.0215;0.0154;0.0000;True;True;-0.2375;0.8560;0.1066;3.197.244;1.190.708;1.084.090;-0.6357;0.8361;0.1091;0.0000;-0.2356;0.8983;0.1934;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3485;13.400;-0.0281;12.325;-0.0166;56.943;3.300.306;0.8487;True;True;0.1126;0.6724;0.0770;457.900;707.992;134.580;0.0269;-0.0100;0.0335;0.0000;True;True;-0.3327;0.9648;0.1828;3.237.869;905.416;1.103.681;-0.2927;0.4316;0.1817;0.0000;-0.3728;10.264;0.2462;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3495;14.800;-0.0285;12.353;-0.0141;42.613;3.300.855;0.5146;True;True;0.1160;0.6719;0.0748;483.538;704.915;109.945;0.0155;0.0032;-0.0211;0.0000;True;True;-0.3690;10.374;0.2501;3.205.089;812.988;1.273.283;-0.1462;0.3400;0.1961;0.0000;-0.4172;10.774;0.3281;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3505;16.200;-0.0308;12.376;-0.0106;29.009;3.306.749;0.7063;True;True;0.1161;0.6718;0.0742;478.999;715.549;116.193;0.0009;-0.0264;-0.0046;0.0000;True;True;-0.3783;10.556;0.2997;3.173.352;736.615;1.394.536;-0.0160;0.0642;0.1117;0.0000;-0.4316;10.846;0.3855;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3510;16.800;-0.0332;12.393;-0.0086;20.559;3.307.379;0.8963;True;True;0.1162;0.6699;0.0740;479.839;713.970;116.289;0.0060;0.0011;0.0004;0.0000;True;True;-0.3923;10.608;0.3166;3.196.082;687.888;1.469.530;-0.4073;-0.0359;0.4168;0.0000;-0.4398;10.825;0.4013;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3515;17.600;-0.0362;12.413;-0.0064;0.8709;3.307.919;11.547;True;True;0.1166;0.6700;0.0738;470.192;717.828;123.356;0.0062;-0.0059;-0.0080;0.0000;True;True;-0.4120;10.531;0.3537;3.184.447;676.221;1.491.229;0.1199;0.1200;0.0312;0.0000;-0.4670;10.670;0.4453;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3520;18.200;-0.0393;12.430;-0.0042;3.599.512;3.307.168;15.500;True;True;0.1168;0.6699;0.0732;465.443;712.480;119.285;0.0000;-0.0010;0.0026;0.0000;True;True;-0.4065;10.584;0.3495;3.197.125;651.490;1.517.710;0.0481;0.0705;-0.0017;0.0000;-0.4617;10.710;0.4406;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
3525;19.000;-0.0422;12.445;-0.0022;3.591.506;3.305.557;15.715;True;True;0.1164;0.6688;0.0740;458.594;710.572;121.477;-0.0028;0.0002;0.0046;0.0000;True;True;-0.4027;10.627;0.3506;3.218.915;667.307;1.448.491;0.1122;0.0127;0.0671;0.0000;-0.4611;10.821;0.4386;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
