Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
28655;0.1000;0.1119;1.1718;0.1224;13.2708;350.1695;345.7958;True;True;0.2590;0.8223;0.0035;54.5137;26.0626;330.3366;-0.0339;-0.0502;-0.0361;0.0000;True;True;-0.0888;1.0217;0.2080;351.6922;125.8924;191.9092;-0.3330;-0.0830;-0.0765;0.0000;-0.0236;0.9673;0.2790;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28660;0.1600;0.1093;1.1726;0.1207;13.4839;349.7577;346.1615;True;True;0.2593;0.8191;0.0032;58.1071;24.9036;330.7462;0.0246;-0.0049;0.0256;0.0000;True;True;-0.1099;1.0233;0.1937;350.3577;127.3200;190.5661;-0.2421;0.1501;-0.4697;0.0000;-0.0441;0.9688;0.2665;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28665;0.2400;0.1065;1.1746;0.1184;13.6430;349.7023;346.9114;True;True;0.2606;0.8202;0.0046;57.3743;27.7479;332.5367;0.0412;0.0342;0.0134;0.0000;True;True;-0.1103;1.0329;0.1606;353.1628;120.8168;187.1283;-0.0226;0.0818;-0.2963;0.0000;-0.0527;0.9833;0.2429;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28670;0.3000;0.1037;1.1781;0.1158;12.7842;350.1475;347.7196;True;True;0.2611;0.8219;0.0041;59.9655;22.9590;326.1954;-0.0058;0.0274;-0.0094;0.0000;True;True;-0.1087;1.0395;0.1553;354.0284;117.9888;186.6799;0.1252;0.1348;-0.0195;0.0000;-0.0605;0.9912;0.2384;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28675;0.3800;0.1007;1.1824;0.1126;11.5014;350.8293;348.3650;True;True;0.2585;0.8245;0.0032;58.2524;22.7297;326.2005;-0.0381;0.0194;-0.0182;0.0000;True;True;-0.1131;1.0316;0.1410;351.7784;116.5396;187.6940;-0.0460;-0.0652;-0.2294;0.0000;-0.0626;0.9860;0.2277;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28680;0.4400;0.0966;1.1879;0.1080;9.9707;351.7317;349.9174;True;True;0.2595;0.8322;0.0048;59.8434;24.7795;327.0785;0.0634;0.2407;-0.0029;0.0000;True;True;-0.0993;1.0278;0.1293;350.6671;116.2849;194.8016;0.1691;-0.1873;-0.1905;0.0000;-0.0539;0.9726;0.2095;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28685;0.5200;0.0918;1.1948;0.1024;8.0732;352.7433;351.9251;True;True;0.2585;0.8439;0.0025;62.5057;28.0810;330.1094;0.0058;0.1503;-0.0100;0.0000;True;True;-0.1018;0.9960;0.1253;344.3943;122.2557;199.6395;-0.1073;-0.6540;0.0003;0.0000;-0.0415;0.9458;0.1885;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28690;0.5800;0.0854;1.2018;0.0955;6.1276;353.6888;353.7458;True;True;0.2620;0.8568;0.0050;68.0513;32.8286;337.8117;0.0283;0.1997;-0.0031;0.0000;True;True;-0.1025;0.9731;0.1223;336.6316;123.6840;205.5325;0.2092;0.0030;0.0066;0.0000;-0.0409;0.9022;0.1706;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28695;0.6600;0.0763;1.2085;0.0876;4.2438;353.9631;355.5478;True;True;0.2652;0.8614;-0.0048;71.7593;28.9241;336.8058;0.0450;0.0217;-0.1099;0.0000;True;True;-0.0893;0.9413;0.1268;333.9079;123.8299;211.6989;-0.0673;-1.0185;-0.0156;0.0000;-0.0192;0.8888;0.1639;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
28700;0.7200;0.0651;1.2151;0.0784;2.5601;353.5493;357.0575;True;True;0.2669;0.8597;-0.0037;76.8485;42.2102;352.8316;0.0220;-0.0640;0.0769;0.0000;True;True;-0.1013;0.8909;0.1279;331.0844;124.9718;211.7102;-0.2586;-0.5744;-0.0956;0.0000;-0.0289;0.8188;0.1626;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
