Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly
8285;0.8600;0.0072;11.768;-0.0138;3.550.563;16.934;3.550.237;True;True;0.2032;0.6496;0.2573;134.315;440.060;49.828;0.0299;-0.0191;0.0166;0.0000;True;True;-0.1464;0.6500;0.3375;58.668;1.452.372;1.871.807;0.0008;0.0147;-0.0051;0.0000;-0.0645;0.5993;0.4006;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8290;0.9400;0.0079;11.777;-0.0159;3.547.522;20.018;3.552.375;True;True;0.2048;0.6513;0.2578;156.488;459.474;46.216;-0.0060;0.0594;0.0014;0.0000;True;True;-0.1456;0.6536;0.3350;61.055;1.443.082;1.882.751;-0.0153;0.0644;-0.0634;0.0000;-0.0654;0.6000;0.4003;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8295;10.200;0.0100;11.782;-0.0181;3.546.982;44.059;3.557.564;True;True;0.2027;0.6579;0.2583;156.143;486.559;83.288;-0.0468;0.0437;0.0014;0.0000;True;True;-0.1446;0.6586;0.3328;68.516;1.455.147;1.893.780;0.0220;0.0238;0.0003;0.0000;-0.0655;0.6038;0.3956;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8300;11.000;0.0092;11.790;-0.0188;3.543.741;54.495;3.561.371;True;True;0.1992;0.6607;0.2590;132.412;469.838;91.943;-0.0187;0.0259;0.0006;0.0000;True;True;-0.1421;0.6602;0.3324;65.989;1.460.796;1.889.333;0.0236;0.0110;-0.0059;0.0000;-0.0622;0.6057;0.3943;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8305;11.800;0.0076;11.785;-0.0187;3.547.510;56.301;3.563.131;True;True;0.2005;0.6575;0.2589;140.472;475.980;85.160;0.0536;-0.1067;-0.0204;0.0000;True;True;-0.1450;0.6572;0.3323;61.794;1.447.973;1.892.164;-0.0636;-0.0802;0.0233;0.0000;-0.0639;0.6044;0.3943;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8310;12.600;0.0071;11.789;-0.0199;3.547.885;59.469;3.565.130;True;True;0.2010;0.6572;0.2577;137.047;469.603;58.907;-0.0078;0.0676;-0.0347;0.0000;True;True;-0.1461;0.6588;0.3323;55.079;1.446.628;1.888.553;0.0222;0.0009;0.0406;0.0000;-0.0669;0.6048;0.3946;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8315;13.400;0.0070;11.796;-0.0222;3.546.494;59.764;3.565.340;True;True;0.2003;0.6584;0.2570;134.642;460.600;57.750;0.0016;-0.0043;0.0006;0.0000;True;True;-0.1470;0.6556;0.3348;62.391;1.451.588;1.876.963;-0.0031;-0.0421;0.0191;0.0000;-0.0662;0.6035;0.3969;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8320;14.200;0.0063;11.802;-0.0244;3.543.415;59.611;3.565.958;True;True;0.2003;0.6586;0.2571;130.495;461.157;63.551;-0.0029;0.0075;0.0023;0.0000;True;True;-0.1466;0.6563;0.3347;64.097;1.452.595;1.879.514;0.0093;0.0205;-0.0059;0.0000;-0.0659;0.6040;0.3979;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8325;15.000;0.0058;11.805;-0.0254;3.541.664;55.722;3.565.359;True;True;0.2003;0.6592;0.2571;129.027;463.304;69.192;0.0011;0.0217;-0.0057;0.0000;True;True;-0.1461;0.6564;0.3347;62.415;1.451.989;1.886.861;0.0008;0.0007;-0.0019;0.0000;-0.0660;0.6032;0.3975;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
8335;16.800;0.0058;11.813;-0.0251;3.538.870;52.736;3.564.048;True;True;0.1999;0.6592;0.2570;127.920;465.273;66.231;-0.0076;-0.0025;-0.0017;0.0000;True;True;-0.1461;0.6537;0.3358;60.336;1.455.807;1.875.718;-0.0121;-0.0114;-0.0185;0.0000;-0.0643;0.6023;0.3986;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False
