Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;RPalmPosition_x;RPalmPosition_y;RPalmPosition_z;RIsPinchGrabbing;RIsPalmGrabbing;RIsAutogripGrabbing;RStrengthThumbIndex;RStrengthThumbMiddle;RStrengthThumbRing;RStrengthThumbPinky;RStrengthPalmIndex;RStrengthPalmMiddle;RStrengthPalmRing;RStrengthPalmPinky;RGrabIdentifier;RMovedCorrectly;LPalmPosition_x;LPalmPosition_y;LPalmPosition_z;LIsPinchGrabbing;LIsPalmGrabbing;LIsAutogripGrabbing;LStrengthThumbIndex;LStrengthThumbMiddle;LStrengthThumbRing;LStrengthThumbPinky;LStrengthPalmIndex;LStrengthPalmMiddle;LStrengthPalmRing;LStrengthPalmPinky;LGrabIdentifier;LMovedCorrectly;
14720;0.0600;0.0862;1.1186;-0.0012;17.2217;344.7009;341.1167;True;True;0.1937;0.5722;0.1161;355.1690;83.8590;335.8534;-0.0050;-0.0262;0.0271;0.0000;True;True;-0.1578;0.9294;0.2401;7.8169;95.2641;119.6884;-0.1172;-0.0218;-0.2035;0.0000;-0.1368;1.0007;0.3252;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14725;0.1400;0.0866;1.1188;0.0013;16.4654;344.5199;340.9656;True;True;0.1970;0.5672;0.1186;358.2403;82.2719;335.1199;0.0351;-0.0643;0.0185;0.0000;True;True;-0.1662;0.9292;0.2415;1.4352;94.8708;119.9312;-0.0247;0.0426;-0.0080;0.0000;-0.1557;0.9992;0.3241;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14730;0.2400;0.0869;1.1178;0.0000;17.5232;344.0352;340.8513;True;True;0.1907;0.5696;0.1165;358.1407;87.0574;338.4509;-0.0234;0.0594;-0.0749;0.0000;True;True;-0.1772;0.9424;0.2507;358.5139;91.8088;115.9948;-0.0108;-0.0632;0.0363;0.0000;-0.1771;1.0201;0.3280;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14735;0.3200;0.0900;1.1211;0.0007;16.2289;345.0840;341.7138;True;True;0.1915;0.5715;0.1168;355.8686;85.2244;337.6748;0.0105;-0.0201;0.0217;0.0000;True;True;-0.1795;0.9401;0.2473;357.2041;95.1813;115.4087;-0.0590;-0.0550;-0.0588;0.0000;-0.1753;1.0189;0.3252;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14740;0.4000;0.0953;1.1251;0.0015;14.1251;347.8590;343.6211;True;True;0.1924;0.5653;0.1217;356.8974;84.9468;336.7382;0.0270;0.0076;0.0458;0.0000;True;True;-0.1794;0.9007;0.2238;357.2927;97.8998;114.9722;0.0323;-0.5269;-0.1642;0.0000;-0.1744;0.9896;0.3028;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14745;0.4800;0.1002;1.1284;0.0005;12.7009;350.3531;346.0079;True;True;0.1859;0.5812;0.1245;1.2390;87.8495;347.2271;-0.1642;0.3750;-0.1437;0.0000;True;True;-0.1712;0.7977;0.1923;349.5115;101.2728;119.4114;0.1168;-2.2164;-0.4036;0.0000;-0.1685;0.9000;0.2788;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14765;0.8000;0.0711;1.1406;-0.0059;8.8436;345.6908;353.7713;True;True;0.1763;0.6074;0.1108;359.5909;88.6921;347.6964;-0.2640;0.4740;-0.0599;0.0000;True;True;-0.0742;0.6395;0.0964;317.1981;52.7717;220.8508;0.0091;-0.7036;-0.0957;0.0000;-0.0545;0.5769;0.1801;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14770;0.8800;0.0613;1.1422;-0.0093;8.3887;343.9361;355.1241;True;True;0.1774;0.6054;0.1088;359.6633;89.7620;349.5216;-0.0262;0.0132;0.0061;0.0000;True;True;-0.0398;0.6427;0.1114;331.0448;70.2717;198.0175;0.5217;0.1378;-0.0637;0.0000;-0.0476;0.5802;0.2042;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14775;0.9600;0.0445;1.1448;-0.0139;6.8095;339.5904;356.5068;True;True;0.1746;0.6087;0.1101;6.3162;94.6349;356.7960;0.0051;-0.0170;0.0364;0.0000;True;True;-0.0079;0.6308;0.0748;347.7971;93.4681;175.5037;-0.4953;-0.2811;-0.2558;0.0000;0.0096;0.6003;0.1827;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
14780;1.0200;0.0284;1.1453;-0.0177;5.8845;333.1155;356.6041;True;True;0.1817;0.6003;0.1108;4.5869;89.4293;350.2247;0.2301;-0.2938;-0.0344;0.0000;True;True;-0.0605;0.5975;0.0940;3.6790;98.0960;164.8634;-0.5850;-0.2289;0.6170;0.0000;-0.0412;0.5828;0.1913;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;0.0000;0.0000;0.0000;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
